Name,Customer,Status Reason,Total Amount,Bill To City,Bill To Country/Region,Bill To Fax,Bill To Name,Bill To Phone,Bill To State/Province,Bill To Street 1,Bill To Street 2,Bill To Street 3,Bill To ZIP/Postal Code,Created By,Created On,Date Delivered,Description,Due Date,Freight Amount,Invoice Discount Amount,Invoice ID,Last Submitted to Backoffice,Modified By,Modified On,Opportunity,Order,Owner,Payment Terms,Price List,Prices Locked,Priority,Ship To,Ship To City,Ship To Country/Region,Ship To Fax,Ship To Freight Terms,Ship To Name,Ship To Phone,Ship To State/Province,Ship To Street 1,Ship To Street 2,Ship To Street 3,Ship To ZIP/Postal Code,Shipping Method,Status,Total Detail Amount,Total Discount Amount,Total Line Item Discount Amount,Total Pre-Freight Amount,Total Tax
Bottle cages,Bold Bike Accessories,New,"$1,020.36",Topeka,US,,,555-0135,KA,1234 Canyon Road,Ste. 312,,20593,First name Last name,06/26/2007,,Bold Bike Accessories order for 100 Road bottle cages,,$66.87,$13.84,INVSO2a,,First name Last name,06/26/2007,,Bottle cages,Jose Curry,Net 45,Wholesale,No,,,Topeka,US,,,,555-0135,KA,1234 Canyon Road,Ste. 312,,20593,Airborne,Active,$899.00,$13.84,$0.00,$885.16,$68.32
Brakes,Solid Bike Parts,New,"$4,872.84",Denver,US,,,555-0135,CO,Northwest Colorado Blvd.,,,10046,First name Last name,06/26/2007,,"Solid Bike Parts order for 20 brakes, front and rear",,$326.89,$67.63,INVSO14,,First name Last name,06/26/2007,,Brakes,Jose Curry,Net 60,Wholesale,No,,,Denver,US,,,,555-0109,CO,Northwest Colorado Blvd.,,,10046,Airborne,Active,"$4,279.60",$67.63,$0.00,"$4,211.97",$333.98
Classic Jersey order,Scooters and Bikes Store,New,"$2,760.98",San Antonio,US,,,555-0135,TX,56789 Stars Roadway,,,20175,First name Last name,06/26/2007,,Scooters and Bikes Store order for 45 short-sleeved jerseys,,$182.62,$37.78,INVSO8,,First name Last name,06/26/2007,,Classic Jersey order,Jose Curry,"2% 10, Net 30",Wholesale,No,,,San Antonio,US,,,,555-0171,TX,56789 Stars Roadway,,,20175,Airborne,Active,"$2,429.55",$37.78,$0.00,"$2,391.77",$186.59
Hitch rack order,Bike Universe,New,"$6,868.00",Round Rock,US,,,555-0135,TX,56789 Bright Road,,,98928,First name Last name,06/26/2007,,Bike Universe order for 4-bike hitch racks,,$451.01,$93.31,INVSO1,,First name Last name,06/26/2007,,Hitch rack order,Gail Erickson,Net 30,Wholesale,No,,,Round Rock,US,,,,555-0135,TX,56789 Bright Road,,,98928,Airborne,Active,"$6,049.50",$93.31,$0.00,"$5,956.19",$460.80
ML-Road-Frame order,Litware Inc.,New,"$8,152.26",Houston,US,,,555-0135,TX,990 Mountain Hill Blvd,,,97300,First name Last name,06/26/2007,,"Order for 12 ML-Road-Frames, color red",,$558.90,$115.64,INV130,,First name Last name,06/26/2007,They sell both touring frames and bikes. May order saddles as well.,ML-Road-Frame order,Jose Curry,"2% 10, Net 30",Wholesale,No,,Address,Houston,US,,,,555-0160,TX,990 Mountain Hill Blvd,,,97300,UPS,Active,"$7,137.96",$115.64,$0.00,"$7,022.32",$571.04
Mountain bike order,Specialty Sports Store,New,"$87,718.70",Dallas,US,,,555-0135,TX,45678 78th Street,,,95486,First name Last name,06/26/2007,,"Specialty Sports Store order for Mountain-200 Black, 38",,"$5,802.02","$1,200.42",INVSO3,,First name Last name,06/26/2007,,Mountain bike order,Jose Curry,Net 45,Wholesale,No,,,Dallas,US,,,,555-0198,TX,45678 78th Street,,,95486,FedEx,Active,"$77,189.10","$1,200.42",$0.00,"$75,988.68","$5,927.99"
Panniers for touring bikes,Recreation Supplies,New,"$4,291.26",Dallas,US,,,555-0135,TX,789 Henry Avenue,,,95626,First name Last name,06/26/2007,,Recreation Supplies order for 30 panniers,,$281.88,$58.32,INVSO11,,First name Last name,06/26/2007,,Panniers for touring bikes,Jose Curry,Net 45,Wholesale,No,,,Dallas,US,,,,555-0195,TX,789 Henry Avenue,,,95626,FedEx,Active,"$3,779.70",$58.32,$0.00,"$3,721.38",$288.00
Road Bike order,Wide World Importers,New,"$110,625.39",Santa Fe,US,,,555-0135,NM,100 SE Rock STREET,,,20940,First name Last name,06/26/2007,,Wide World Importers order by Road-150,,"$7,384.84","$1,527.90",INV90,,First name Last name,06/26/2007,25 Mountain bikes and at least 5 road bikes. Some interest in our clothing.,Road Bike order,Jose Curry,"2% 10, Net 30",Wholesale,No,,Address,Santa Fe,US,,,,555-0126,NM,100 SE Rock STREET,,,20940,UPS,Active,"$97,223.28","$1,527.90",$0.00,"$95,695.38","$7,545.17"
Road bike order,Vast Bike Sales and Rental,New,"$28,283.10",Kendall,US,,,555-0135,FL,Rome Ave and 4th St.,,,43379,First name Last name,06/26/2007,,"Vast Bike Sales and Rental order 15 for Road-450 Red, 48 inch",,"$1,938.79",$401.13,INVSO4a,,First name Last name,06/26/2007,,Road bike order,Jose Curry,"2% 10, Net 30",Wholesale,No,,,Kendall,US,,,,555-0137,FL,Rome Ave and 4th St.,,,43379,Airborne,Active,"$24,764.55",$401.13,$0.00,"$24,363.42","$1,980.88"
Silver mountain bike order,Scooters and Bikes Store,New,"$7,229.78",San Antonio,US,,,555-0135,TX,56789 Stars Roadway,,,20175,First name Last name,06/26/2007,,Scooters and Bikes Store order for 10 Mountain-500 bikes,,$495.96,$102.61,INVSO10,,First name Last name,06/26/2007,,Silver mountain bike order,Jose Curry,Net 45,Wholesale,No,,,San Antonio,US,,,,555-0146,TX,56789 Stars Roadway,,,20175,FedEx,Active,"$6,329.70",$102.61,$0.00,"$6,227.09",$506.73
Sock order,Scooters and Bikes Store,New,$663.23,San Antonio,US,,,555-0135,TX,56789 Stars Roadway,,,20175,First name Last name,06/26/2007,,Scooters and Bikes Store order for 65 racing socks,,$43.47,$8.99,INVSO9,,First name Last name,06/26/2007,,Sock order,Jose Curry,Net 60,Wholesale,No,,,San Antonio,US,,,,555-0144,TX,56789 Stars Roadway,,,20175,DHL,Active,$584.35,$8.99,$0.00,$575.36,$44.41
Sport-100 Helmet order,Recreation Supplies,New,"$1,391.71",Dallas,US,,,555-0135,TX,789 Henry Avenue,,,95626,First name Last name,06/26/2007,,Recreation Supplies blue Sport-100 helmet order,,$92.05,$19.05,INV170,,First name Last name,06/26/2007,Restock their helmet supply; will purchase 25-50 helmets.,Sport-100 Helmet order,Jose Curry,"2% 10, Net 30",Wholesale,No,,Address,Dallas,US,,,,555-0115,TX,789 Henry Avenue,,,95626,UPS,Active,"$1,224.65",$19.05,$0.00,"$1,205.60",$94.05
Touring-1000 order,Wide World Importers,New,"$46,699.40",Santa Fe,US,,,555-0135,NM,100 SE Rock STREET,,,20940,First name Last name,06/26/2007,,Wide World Importers order for 15 yellow Touring-1000 bikes,,"$3,201.34",$662.35,INVSO7,,First name Last name,06/26/2007,,Touring-1000 order,Jose Curry,Net 45,Wholesale,No,,,Santa Fe,US,,,,555-0165,NM,100 SE Rock STREET,,,20940,FedEx,Active,"$40,889.55",$662.35,$0.00,"$40,227.20","$3,270.85"
Touring-3000 order,Wide World Importers,New,"$11,634.89",Santa Fe,US,,,555-0135,NM,100 SE Rock STREET,,,20940,First name Last name,06/26/2007,,Wide World Importers order for Touring-3000,,$797.47,$164.99,INVSO5,,First name Last name,06/26/2007,,Touring-3000 order,Jose Curry,Net 45,Wholesale,No,,,Santa Fe,US,,,,555-0133,NM,100 SE Rock STREET,,,20940,FedEx,Active,"$10,187.64",$164.99,$0.00,"$10,022.65",$814.78
Women's mountain bike order,Vast Bike Sales and Rental,New,"$11,826.67",Kendall,US,,,555-0135,FL,Rome Ave and 4th St.,,,43379,First name Last name,06/26/2007,,Vast Bike Sales and Rental order for Mountain-400-W,,$810.57,$167.70,INVSO4,,First name Last name,06/26/2007,,Women's mountain bike order,Jose Curry,"2% 10, Net 30",Wholesale,No,,,Kendall,US,,,,555-0128,FL,Rome Ave and 4th St.,,,43379,Airborne,Active,"$10,355.64",$167.70,$0.00,"$10,187.94",$828.17
